名称,相对路径,性别,年龄段,预测年龄,语速,用途,标签,典型角色,描述
克洛伊,豆哥方言/江浙-逗可童.mp3,女,青年,26岁,适中,配音,中式英语|塑料普通话|接地气|幽默|客服腔|搞怪|亲切|非标准,蹩脚推销员、不知名客服、喜剧配角、搞怪邻居、新手导游,带有明显口音色彩的年轻女声，英语发音生硬且带有强烈的中式方言味道，后半段中文也透着一种非标准的“塑料”感，听感接地气且自带幽默效果，适合演绎不太专业的客服或喜剧
上海沪婉,豆哥方言/东北肉姐.mp3,女,青年,28岁,适中,配音+旁白,亲切|明亮|东北腔|爽朗|接地气|热情|干练|自然,热心大姐、带货主播、东北媳妇、综艺旁白、邻居阿姨,声音明亮且极具辨识度，带有明显的东北口音，语调上扬充满热情与活力。听感亲切自然，如同邻家热心大姐在唠家常，非常适合接地气的剧情配音或带货场景。
上海沪嫂,豆哥方言/上海-逗沪婉.mp3,女,中年,52岁,适中,配音,亲切|市井|吴侬软语|上海话|大妈|热情|生活化|方言,弄堂阿姨、热心邻居、上海丈母娘、菜场大妈,地道的上海话方言女声，语调软糯中带着市井的烟火气，听感亲切自然，如同弄堂里热情的邻居阿姨，非常适合演绎具有地域特色的生活场景。
沪上阿叔,豆哥方言/江浙-逗羽哲.mp3,男,中年,48岁,适中,配音,方言|上海口音|亲切|接地气|市井|诙谐|大叔音|distinctive,上海弄堂大叔、精明的小老板、热心邻居、搞笑配角、管家,带有浓郁上海风味的中年男声，口音独特且辨识度极高，透着一股市井生活的精明与亲切感，非常适合演绎具有地方特色的诙谐角色。
湖南湘婷,豆哥方言/逗静婉.mp3,女,青年,24岁,较快,配音,方言|活泼|热情|亲切|俏皮|接地气|泼辣|明亮,重庆妹子、火锅店老板娘、热心邻居、直爽闺蜜、江湖女侠,充满活力与生活气息的年轻女声，带有明显的川渝方言口音，语调上扬且富有感染力，听起来热辣爽快，非常适合演绎性格直爽、泼辣或接地气的女性角色。
元气甜妹,豆哥方言/湖南-逗湘婷.mp3,女,青年,22岁,较快,配音+旁白,清脆|活泼|元气|甜美|欢快|明亮|亲切|高音色,元气少女、热血动漫女角、游戏引导NPC、邻家妹妹、偶像练习生,清脆明亮的年轻女声，语调上扬充满活力，带有明显的笑意和亲切感，非常适合演绎活泼可爱的少女角色或轻松欢快的解说场景。
泽言,豆哥方言/台普-逗阿豪.mp3,男,青年,23岁,适中,配音+旁白,清亮|活泼|元气|自然|亲切|少年感|爽朗|阳光,热血少年、阳光学弟、年轻侠客、游戏主角、电台主播,声音清亮且富有活力，带有明显的少年感和阳光气质，语调自然流畅，给人一种亲切爽朗的感觉，非常适合演绎热血动漫主角或现代都市剧中的年轻男性角色。
粤语毛洁,豆哥方言/粤语-逗沐松.mp3,男,青年,28岁,适中,配音+旁白,粤语|沉稳|温润|磁性|商务|知性|清晰|自然|亲切,TVB职业剧主角、新闻主播、纪录片旁白、商务精英、深情男主,标准的粤语男声，音色温润且带有磁性，语调自然流畅，既有商务人士的干练与稳重，又不失亲切感，非常适合粤语地区的广告、职业剧配音及文化类旁白。
黑龙,豆哥方言/粤语-逗毛洁.mp3,男,青年,26岁,适中,旁白,粤语|磁性|温暖|清亮|自信|现代|自然|亲切|朝气,电台主持、现代青年、职场新人、阳光暖男、旅游向导,标准且自然的粤语男声，音色清亮中带着磁性和温暖，语调轻松自信，如同电台DJ或亲切的朋友在打招呼，非常适合现代都市题材的旁白或角色配音。
言笑,豆哥方言/西安-逗秦研.mp3,女,青年,26岁,适中,配音+旁白,亲切|自然|明亮|方言感|大方|接地气|温暖|邻家|随和,热心邻居、导游、客服人员、综艺旁白、地方台主持人,声音明亮大方，带有一丝不易察觉的口音色彩，使得整体听感极其自然亲切，就像久别重逢的老友。语调上扬，充满热情与欢迎之意，非常适合演绎具有生活气息的角色或轻松愉快的
台湾青青,豆哥方言/东北霸妹.mp3,女,中年,38岁,适中,配音,东北方言|豪爽|亲切|热情|接地气|大嗓门|干练|生活化,热心大姐、东北媳妇、居委会大妈、菜市场摊主、小品演员,充满浓郁东北风味的中年女声，语调上扬且富有感染力，透着一股豪爽、泼辣与热情。声音接地气，极具生活气息，非常适合演绎热心肠的邻里大姐或喜剧类角色。
智妍,豆哥方言/台湾-青青.mp3,女,青年,26岁,适中,配音+旁白,温柔|甜美|清晰|亲切|知性|治愈|悦耳|服务感,智能助手、客服引导、有声书旁白、电台主播、温柔学姐,声音清亮甜美，自带一种温暖的亲切感和专业服务感，咬字清晰圆润，语调平稳柔和，非常适合作为智能语音助手或治愈系文案的旁白。
逗靓靓,豆哥方言/台普繁-逗同恩.mp3,男,青年,27岁,适中,配音+旁白,温和|清晰|自然|亲切|知性|稳重|平静|现代感,青年教师、科技解说、职场精英、暖男、纪录片旁白,声音温润清晰，音色自然且具有现代感，语调平稳流畅，带有一种知性与亲和力并存的气质，适合作为科技、教育类视频的旁白或都市剧中的稳重青年角色。
粤语嘉琪,豆哥方言/逗靓靓.mp3,女,青年,26岁,适中,配音+旁白,粤语|知性|清晰|柔和|亲切|自然|商务|地道,香港白领、导游解说、TVB职场女性、粤语新闻播报、客服,发音标准的粤语女声，音色知性柔和，语调自然流畅，给人一种亲切而专业的听感，非常适合粤语地区的旁白解说或职场女性角色配音。
川渝哥,豆哥方言/东北-逗佳妮.mp3,女,中年,45岁,较快,配音,接地气|东北口音|热情|爽朗|大妈|生活化|亲切|喜剧,热心邻居、农村大婶、八卦阿姨、菜市场老板娘、广场舞领队,充满生活气息的东北口音中年女声，语调上扬，透着一股热情爽朗和自来熟的劲头。非常适合演绎热心肠的农村大婶、喜欢唠嗑的邻居阿姨或喜剧类角色。
长沙星玥,豆哥方言/逗渝达.mp3,男,青年,28岁,适中,配音+旁白,方言|川普|亲切|接地气|幽默|活泼|自然|轻松,出租车司机、热心肠路人、搞笑博主、带货主播、邻居大哥,带有明显四川/重庆口音的普通话（川普），声音听起来非常亲切且接地气，自带一种轻松幽默的氛围，非常适合生活化的场景或搞笑类内容的解说与角色演绎。
川渝辣妹,豆哥方言/长沙-逗星玥.mp3,女,青年,24岁,较快,配音,四川方言|泼辣|活泼|接地气|明快|热情|干练|市井气,火锅店老板娘、泼辣邻居、欢喜冤家、热心肠大姐、豪爽侠女,充满生活气息的四川方言女声，语调上扬且富有节奏感，听起来泼辣爽利、热情直率，非常适合演绎性格外向、嘴快心热的市井人物或喜剧角色。
蓉蓉,豆哥方言/四川-小月.mp3,女,青年,22岁,较快,配音,四川方言|活泼|清脆|俏皮|接地气|邻家|明快|热情,四川妹子、火锅店老板娘、活泼闺蜜、方言导游、市井小妹,带有浓郁四川口音的年轻女声，语调上扬且富有跳跃感，听感清脆明亮，透着一股泼辣又热情的劲儿，非常适合演绎性格直爽、活泼开朗的四川本地角色。
广普辉叔,豆哥方言/潮汕.mp3,男,中年,45岁,适中,配音,广普口音|接地气|幽默|随和|烟嗓|市井|真实|亲切,包租公、大排档老板、黑帮小头目、暴发户、搞笑路人,带有明显广东口音的普通话，声音略带沙哑和市井气息，听感轻松随和，既有街头巷尾的真实感，又适合演绎略带喜感的南方老板或江湖小人物。
言雅,豆哥方言/粤语-逗崽崽.mp3,男,青年,27岁,适中,配音+旁白,粤语|港风|磁性|深情|温润|叙述感|亲切|都市,深情男主、电台DJ、都市白领、港剧警察、暖男学长,地道标准的粤语青年男声，音色温润带有磁性，语气中透着一种久别重逢的深情与亲切感。像是TVB经典剧集中的男主角，既适合演绎都市情感剧，也适合作为电台深夜节目的治愈
豫中老乡,豆哥方言/台普繁-逗丽珍.mp3,女,青年,26岁,适中,配音+旁白,知性|温婉|清晰|亲切|柔和|端庄|治愈|悦耳,智能助手、有声书旁白、博物馆解说、知性姐姐、新闻播报,温婉知性的青年女声，音色清亮且富有亲和力，咬字清晰自然，语调平稳柔和，非常适合作为智能客服、有声读物旁白或知性女性角色的配音。
言蜀,豆哥方言/陕西-逗云舒.mp3,女,中年,45岁,适中,配音,方言|河南口音|朴实|接地气|亲切|自然|生活化|大姐,农村大嫂、媒婆、热心邻居、甚至小摊贩、菜市场大妈,声音带有浓厚且地道的中原官话方言韵味（类似河南话），音色朴实无华，充满生活气息，非常适合演绎农村题材剧中的妇女形象或市井生活中的热心大姐。
铁憨憨,豆哥方言/重庆-逗江晨.mp3,男,青年,27岁,适中,配音,四川口音|幽默|亲切|接地气|随性|方言普通话|市井|活力,四川籍配角、搞笑路人、外卖小哥、热心邻居、出租车司机,带有明显四川口音特征的“川普”男声，平舌音和调值极具辨识度，声音听起来随性自然，充满市井烟火气和幽默感，非常适合演绎接地气的搞笑角色或生活化场景。
台普旭飞,豆哥方言/逗北虎.mp3,男,青年,27岁,适中,配音,接地气|东北口音|憨厚|直爽|质朴|自然|略带沙哑|生活化,热心邻居、修车师傅、街头小贩、搞笑配角、朴实青年,声音带有明显的东北口音特色，听感憨厚直爽，略带沙哑的质感非常接地气，适合演绎生活中朴实、热心或带有喜剧色彩的市井小人物。
言拓,豆哥方言/台普-逗旭飞.mp3,男,青年,27岁,适中,配音,科技感|标准|清晰|合成感|平静|中性|服务型|现代,AI助手、系统提示音、新手引导员、客服机器人、科技产品演示,声音听感略带机械与数码质感，发音极其标准清晰，情绪平稳且客观，适合作为各类APP、智能设备中的系统提示音或AI语音助手，给人以现代且高效的服务体验。
粤语芷晴,豆哥方言/粤语-桃子.mp3,女,青年,27岁,适中,配音+旁白,粤语|知性|清晰|柔和|亲切|自然|商务|干练,新闻播报员、智能客服、公司职员、导游、系统提示音,发音标准的粤语女声，音色清晰柔和，带有一种知性与亲切感。语调平稳自然，没有过多的情绪起伏，非常适合用于粤语地区的智能语音交互、新闻播报或商务接待场景。
